YEARS,COUNT,PERCENTAGE
102.3,1,0.0%
102.4,4,2.0E-4%
102.7,3,1.0E-4%
102.8,1,0.0%
103.0,1,0.0%
103.1,4,2.0E-4%
103.2,1,0.0%
103.3,1,0.0%
103.4,1,0.0%
103.5,1,0.0%
103.6,1,0.0%
103.7,1,0.0%
103.9,1,0.0%
104.1,2,1.0E-4%
104.2,1,0.0%
104.3,1,0.0%
104.6,2,1.0E-4%
104.7,2,1.0E-4%
104.8,2,1.0E-4%
104.9,1,0.0%
105.1,10,4.0E-4%
105.3,2,1.0E-4%
105.4,1,0.0%
105.5,1,0.0%
105.6,1,0.0%
106.1,3,1.0E-4%
106.2,1,0.0%
106.3,1,0.0%
106.4,1,0.0%
106.7,1,0.0%
106.8,1,0.0%
106.9,1,0.0%
107.0,1,0.0%
107.1,3,1.0E-4%
107.5,1,0.0%
107.6,2,1.0E-4%
107.8,1,0.0%
108.1,6,2.0E-4%
108.2,2,1.0E-4%
108.4,1,0.0%
108.6,1,0.0%
